time_s,J1,J2,J3,J4,J5,J6
1.2583333333333333,2.8025002,0.15168135,-0.5999811,0.0,-0.8191338,-2.0345552
1.2625,2.8025002,0.15166865,-0.5999749,0.0,-0.8191528,-2.0345552
1.2666666666666666,2.8025002,0.15165469,-0.5999678,0.0,-0.81917375,-2.0345552
1.2708333333333333,2.8025002,0.15163842,-0.5999597,0.0,-0.8191982,-2.0345552
1.275,2.8025002,0.1516188,-0.59994984,0.0,-0.8192277,-2.0345552
1.2791666666666666,2.8025002,0.15159483,-0.5999377,0.0,-0.81926376,-2.0345552
1.2833333333333332,2.8025005,0.1515655,-0.59992284,0.0,-0.8193079,-2.0345552
1.2875,2.8025005,0.15152977,-0.59990466,0.0,-0.81936187,-2.0345552
1.2916666666666667,2.8025005,0.15148786,-0.59988326,0.0,-0.8194252,-2.0345552
1.2958333333333334,2.8025002,0.15144017,-0.599859,0.0,-0.8194971,-2.0345552
1.3,2.8025002,0.15138596,-0.59983134,0.0,-0.819579,-2.0345552
1.3041666666666667,2.8025002,0.15132637,-0.599801,0.0,-0.81966895,-2.0345552
1.3083333333333333,2.8025002,0.15126264,-0.5997684,0.0,-0.81976527,-2.0345552
1.3125,2.8025002,0.1511959,-0.5997343,0.0,-0.81986606,-2.0345552
1.3166666666666667,2.8025002,0.15112737,-0.5996994,0.0,-0.81996953,-2.0345552
1.3208333333333333,2.8025002,0.15105821,-0.59966403,0.0,-0.82007414,-2.0345552
1.325,2.8025005,0.1509896,-0.5996289,0.0,-0.82017773,-2.0345552
1.3291666666666666,2.8025005,0.15092273,-0.59959465,0.0,-0.8202788,-2.0345552
1.3333333333333333,2.8025005,0.15085378,-0.59955925,0.0,-0.8203833,-2.0345552
1.3375,2.8025002,0.1507563,-0.5995095,0.0,-0.82053053,-2.0345552
1.3416666666666666,2.8025002,0.15068245,-0.5994721,0.0,-0.8206418,-2.0345552
1.3458333333333332,2.8025002,0.15059246,-0.5994261,0.0,-0.82077783,-2.0345552
1.35,2.8025002,0.15044647,-0.59935063,0.0,-0.8209993,-2.0345552
1.3541666666666667,2.8025005,0.1502106,-0.5992278,0.0,-0.82135797,-2.0345552
1.3583333333333334,2.8025002,0.15004943,-0.599144,0.0,-0.8216028,-2.0345552
1.3625,2.8025002,0.14987172,-0.5990521,0.0,-0.8218725,-2.0345552
